,Zona básica de salud,fecha informe,Casos confirmados en los ultimos 14 días,Tasa de incidencia acumulada en los últimos 14 días,Tasa incidencia acumulada activos ultimos 14dias,Casos confirmados totales,Tasa de incidencia acumulada total,Casos confirmados activos ultimos 14dias,Código geometría,Unnamed: 9
547,Marqués de la Valdavia,2020/06/13 07:00:00,,0.0,,107.0,609.24,,160,
548,Miraflores,2020/06/13 07:00:00,,0.0,,159.0,727.86,,172,
549,Valdelasfuentes,2020/06/13 07:00:00,8.0,30.43,,227.0,863.38,,262,
550,Alcobendas - Chopera,2020/06/12 07:00:00,,10.88,,178.0,645.79,,8,
551,La Moraleja,2020/06/12 07:00:00,,8.41,,173.0,727.59,,125,
552,Marqués de la Valdavia,2020/06/12 07:00:00,,0.0,,107.0,609.24,,160,
553,Miraflores,2020/06/12 07:00:00,,0.0,,159.0,727.86,,172,
554,Valdelasfuentes,2020/06/12 07:00:00,8.0,30.43,,226.0,859.58,,262,
555,Alcobendas - Chopera,2020/06/11 07:00:00,,10.88,,178.0,645.79,,8,
556,La Moraleja,2020/06/11 07:00:00,,8.41,,173.0,727.59,,125,
557,Marqués de la Valdavia,2020/06/11 07:00:00,,0.0,,107.0,609.24,,160,
558,Miraflores,2020/06/11 07:00:00,,0.0,,159.0,727.86,,172,
559,Valdelasfuentes,2020/06/11 07:00:00,8.0,30.43,,226.0,859.58,,262,
560,Alcobendas - Chopera,2020/06/10 07:00:00,,10.88,,178.0,645.79,,8,
561,La Moraleja,2020/06/10 07:00:00,,8.41,,173.0,727.59,,125,
562,Marqués de la Valdavia,2020/06/10 07:00:00,,0.0,,107.0,609.24,,160,
563,Miraflores,2020/06/10 07:00:00,,0.0,,159.0,727.86,,172,
564,Valdelasfuentes,2020/06/10 07:00:00,6.0,22.82,,223.0,848.17,,262,
565,Alcobendas - Chopera,2020/06/09 07:00:00,,10.88,,178.0,645.79,,8,
566,La Moraleja,2020/06/09 07:00:00,,8.41,,173.0,727.59,,125,
567,Marqués de la Valdavia,2020/06/09 07:00:00,,0.0,,107.0,609.24,,160,
568,Miraflores,2020/06/09 07:00:00,,0.0,,159.0,727.86,,172,
569,Valdelasfuentes,2020/06/09 07:00:00,6.0,22.82,,222.0,844.36,,262,
570,Alcobendas - Chopera,2020/06/08 07:00:00,,10.88,,177.0,642.17,,8,
571,La Moraleja,2020/06/08 07:00:00,,8.41,,173.0,727.59,,125,
572,Marqués de la Valdavia,2020/06/08 07:00:00,,0.0,,107.0,609.24,,160,
573,Miraflores,2020/06/08 07:00:00,,0.0,,159.0,727.86,,172,
574,Valdelasfuentes,2020/06/08 07:00:00,9.0,34.23,,222.0,844.36,,262,
575,Alcobendas - Chopera,2020/06/07 07:00:00,,10.88,,177.0,642.17,,8,
576,La Moraleja,2020/06/07 07:00:00,,8.41,,172.0,723.39,,125,
577,Marqués de la Valdavia,2020/06/07 07:00:00,,0.0,,107.0,609.24,,160,
578,Miraflores,2020/06/07 07:00:00,,0.0,,159.0,727.86,,172,
579,Valdelasfuentes,2020/06/07 07:00:00,9.0,34.23,,222.0,844.36,,262,
580,Alcobendas - Chopera,2020/06/06 07:00:00,,10.88,,177.0,642.17,,8,
581,La Moraleja,2020/06/06 07:00:00,,8.41,,172.0,723.39,,125,
582,Marqués de la Valdavia,2020/06/06 07:00:00,,0.0,,107.0,609.24,,160,
583,Miraflores,2020/06/06 07:00:00,,0.0,,159.0,727.86,,172,
584,Valdelasfuentes,2020/06/06 07:00:00,11.0,41.84,,222.0,844.36,,262,
585,Alcobendas - Chopera,2020/06/05 07:00:00,,10.88,,177.0,642.17,,8,
586,La Moraleja,2020/06/05 07:00:00,,12.62,,172.0,723.39,,125,
587,Marqués de la Valdavia,2020/06/05 07:00:00,,0.0,,108.0,614.93,,160,
588,Miraflores,2020/06/05 07:00:00,,0.0,,159.0,727.86,,172,
589,Valdelasfuentes,2020/06/05 07:00:00,13.0,49.44,,218.0,829.15,,262,
590,Alcobendas - Chopera,2020/06/04 07:00:00,,10.88,,178.0,645.79,,8,
591,La Moraleja,2020/06/04 07:00:00,,8.41,,173.0,727.59,,125,
592,Marqués de la Valdavia,2020/06/04 07:00:00,,0.0,,108.0,614.93,,160,
593,Miraflores,2020/06/04 07:00:00,,4.58,,161.0,737.01,,172,
594,Valdelasfuentes,2020/06/04 07:00:00,12.0,45.64,,218.0,829.15,,262,
595,Alcobendas - Chopera,2020/06/03 07:00:00,,10.88,,178.0,645.79,,8,
596,La Moraleja,2020/06/03 07:00:00,,8.41,,176.0,740.21,,125,
597,Marqués de la Valdavia,2020/06/03 07:00:00,,0.0,,108.0,614.93,,160,
598,Miraflores,2020/06/03 07:00:00,,18.31,,162.0,741.59,,172,
599,Valdelasfuentes,2020/06/03 07:00:00,11.0,41.84,,219.0,832.95,,262,
600,Alcobendas - Chopera,2020/06/02 07:00:00,,7.26,,176.0,638.54,,8,
601,La Moraleja,2020/06/02 07:00:00,,8.41,,172.0,723.39,,125,
602,Marqués de la Valdavia,2020/06/02 07:00:00,,0.0,,107.0,609.24,,160,
603,Miraflores,2020/06/02 07:00:00,,13.73,,159.0,727.86,,172,
604,Valdelasfuentes,2020/06/02 07:00:00,13.0,49.44,,217.0,825.35,,262,
605,Alcobendas - Chopera,2020/06/01 07:00:00,,3.63,,175.0,634.91,,8,
606,La Moraleja,2020/06/01 07:00:00,,8.41,,171.0,719.18,,125,
607,Marqués de la Valdavia,2020/06/01 07:00:00,,5.69,,107.0,609.24,,160,
608,Miraflores,2020/06/01 07:00:00,,13.73,,159.0,727.86,,172,
609,Valdelasfuentes,2020/06/01 07:00:00,16.0,60.86,,213.0,810.13,,262,
610,Alcobendas - Chopera,2020/05/31 07:00:00,,3.63,,175.0,634.91,,8,
611,La Moraleja,2020/05/31 07:00:00,,8.41,,171.0,719.18,,125,
612,Marqués de la Valdavia,2020/05/31 07:00:00,,5.69,,107.0,609.24,,160,
613,Miraflores,2020/05/31 07:00:00,,13.73,,159.0,727.86,,172,
614,Valdelasfuentes,2020/05/31 07:00:00,16.0,60.86,,213.0,810.13,,262,
615,Alcobendas - Chopera,2020/05/30 07:00:00,,0.0,,174.0,631.28,,8,
616,La Moraleja,2020/05/30 07:00:00,,8.41,,171.0,719.18,,125,
617,Marqués de la Valdavia,2020/05/30 07:00:00,,5.69,,107.0,609.24,,160,
618,Miraflores,2020/05/30 07:00:00,,13.73,,159.0,727.86,,172,
619,Valdelasfuentes,2020/05/30 07:00:00,15.0,57.05,,212.0,806.33,,262,
620,Alcobendas - Chopera,2020/05/29 07:00:00,,0.0,,174.0,631.28,,8,
621,La Moraleja,2020/05/29 07:00:00,,8.41,,171.0,719.18,,125,
622,Marqués de la Valdavia,2020/05/29 07:00:00,,11.39,,107.0,609.24,,160,
623,Miraflores,2020/05/29 07:00:00,,18.31,,159.0,727.86,,172,
624,Valdelasfuentes,2020/05/29 07:00:00,15.0,57.05,,212.0,806.33,,262,
625,Alcobendas - Chopera,2020/05/28 07:00:00,,0.0,,173.0,627.65,,8,
626,La Moraleja,2020/05/28 07:00:00,,12.62,,170.0,714.98,,125,
627,Marqués de la Valdavia,2020/05/28 07:00:00,,17.08,,107.0,609.24,,160,
628,Miraflores,2020/05/28 07:00:00,,18.31,,159.0,727.86,,172,
629,Valdelasfuentes,2020/05/28 07:00:00,18.0,68.46,,212.0,806.33,,262,
630,Alcobendas - Chopera,2020/05/27 07:00:00,,0.0,,172.0,624.02,,8,
631,La Moraleja,2020/05/27 07:00:00,,16.82,,170.0,714.98,,125,
632,Marqués de la Valdavia,2020/05/27 07:00:00,,17.08,,107.0,609.24,,160,
633,Miraflores,2020/05/27 07:00:00,,13.73,,158.0,723.28,,172,
634,Valdelasfuentes,2020/05/27 07:00:00,20.0,76.07,,209.0,794.92,,262,
635,Alcobendas - Chopera,2020/05/26 07:00:00,,0.0,,172.0,624.02,,8,
636,La Moraleja,2020/05/26 07:00:00,,21.03,,170.0,714.98,,125,
637,Marqués de la Valdavia,2020/05/26 07:00:00,,17.08,,107.0,609.24,,160,
638,Miraflores,2020/05/26 07:00:00,,13.73,,158.0,723.28,,172,
639,Valdelasfuentes,2020/05/26 07:00:00,29.0,110.3,,208.0,791.12,,262,
640,Alcobendas - Chopera,2020/05/25 07:00:00,,3.63,,172.0,624.02,,8,
641,La Moraleja,2020/05/25 07:00:00,6.0,25.23,,169.0,710.77,,125,
642,Marqués de la Valdavia,2020/05/25 07:00:00,,17.08,,107.0,609.24,,160,
643,Miraflores,2020/05/25 07:00:00,,22.89,,158.0,723.28,,172,
644,Valdelasfuentes,2020/05/25 07:00:00,32.0,121.71,,202.0,768.29,,262,
645,Alcobendas - Chopera,2020/05/24 07:00:00,,3.63,,172.0,624.02,,8,
646,La Moraleja,2020/05/24 07:00:00,,21.03,,168.0,706.57,,125,
647,Marqués de la Valdavia,2020/05/24 07:00:00,,17.08,,107.0,609.24,,160,
648,Miraflores,2020/05/24 07:00:00,,18.31,,157.0,718.7,,172,
649,Valdelasfuentes,2020/05/24 07:00:00,32.0,121.71,,202.0,768.29,,262,
650,Alcobendas - Chopera,2020/05/23 07:00:00,,3.63,,172.0,624.02,,8,
651,La Moraleja,2020/05/23 07:00:00,,16.82,,167.0,702.36,,125,
652,Marqués de la Valdavia,2020/05/23 07:00:00,,11.39,,106.0,603.54,,160,
653,Miraflores,2020/05/23 07:00:00,,18.31,,157.0,718.7,,172,
654,Valdelasfuentes,2020/05/23 07:00:00,31.0,117.91,,200.0,760.69,,262,
655,Alcobendas - Chopera,2020/05/22 07:00:00,,0.0,,171.0,620.4,,8,
656,La Moraleja,2020/05/22 07:00:00,,16.82,,167.0,702.36,,125,
657,Marqués de la Valdavia,2020/05/22 07:00:00,,11.39,,106.0,603.54,,160,
658,Miraflores,2020/05/22 07:00:00,,18.31,,157.0,718.7,,172,
659,Valdelasfuentes,2020/05/22 07:00:00,30.0,114.1,,198.0,753.08,,262,
660,Alcobendas - Chopera,2020/05/21 07:00:00,,0.0,,171.0,620.4,,8,
661,La Moraleja,2020/05/21 07:00:00,,21.03,,167.0,702.36,,125,
662,Marqués de la Valdavia,2020/05/21 07:00:00,,11.39,,106.0,603.54,,160,
663,Miraflores,2020/05/21 07:00:00,,13.73,,156.0,714.12,,172,
664,Valdelasfuentes,2020/05/21 07:00:00,31.0,117.91,,198.0,753.08,,262,
665,Alcobendas - Chopera,2020/05/20 07:00:00,,7.26,,170.0,616.77,,8,
666,La Moraleja,2020/05/20 07:00:00,7.0,29.44,,167.0,702.36,,125,
667,Marqués de la Valdavia,2020/05/20 07:00:00,,11.39,,106.0,603.54,,160,
668,Miraflores,2020/05/20 07:00:00,,9.16,,155.0,709.54,,172,
669,Valdelasfuentes,2020/05/20 07:00:00,31.0,117.91,,198.0,753.08,,262,
670,Alcobendas - Chopera,2020/05/19 07:00:00,,10.88,,170.0,616.77,,8,
671,La Moraleja,2020/05/19 07:00:00,9.0,37.85,,167.0,702.36,,125,
672,Marqués de la Valdavia,2020/05/19 07:00:00,,11.39,,105.0,597.85,,160,
673,Miraflores,2020/05/19 07:00:00,,13.73,,155.0,709.54,,172,
674,Valdelasfuentes,2020/05/19 07:00:00,30.0,114.1,,196.0,745.47,,262,
675,Alcobendas - Chopera,2020/05/18 07:00:00,,18.14,,170.0,616.77,,8,
676,La Moraleja,2020/05/18 07:00:00,8.0,33.65,,166.0,698.15,,125,
677,Marqués de la Valdavia,2020/05/18 07:00:00,,17.08,,105.0,597.85,,160,
678,Miraflores,2020/05/18 07:00:00,,18.31,,155.0,709.54,,172,
679,Valdelasfuentes,2020/05/18 07:00:00,24.0,91.28,,190.0,722.65,,262,
680,Alcobendas - Chopera,2020/05/17 07:00:00,,18.14,,171.0,620.4,,8,
681,La Moraleja,2020/05/17 07:00:00,9.0,37.85,,166.0,698.15,,125,
682,Marqués de la Valdavia,2020/05/17 07:00:00,,17.08,,105.0,597.85,,160,
683,Miraflores,2020/05/17 07:00:00,,18.31,,155.0,709.54,,172,
684,Valdelasfuentes,2020/05/17 07:00:00,24.0,91.28,,190.0,722.65,,262,
685,Alcobendas - Chopera,2020/05/16 07:00:00,,18.14,,171.0,620.4,,8,
686,La Moraleja,2020/05/16 07:00:00,10.0,42.06,,166.0,698.15,,125,
687,Marqués de la Valdavia,2020/05/16 07:00:00,,17.08,,104.0,592.15,,160,
688,Miraflores,2020/05/16 07:00:00,,13.73,,154.0,704.97,,172,
689,Valdelasfuentes,2020/05/16 07:00:00,25.0,95.09,,190.0,722.65,,262,
690,Alcobendas - Chopera,2020/05/15 07:00:00,,18.14,,171.0,620.4,,8,
691,La Moraleja,2020/05/15 07:00:00,11.0,46.26,,166.0,698.15,,125,
692,Marqués de la Valdavia,2020/05/15 07:00:00,,11.39,,103.0,586.46,,160,
693,Miraflores,2020/05/15 07:00:00,,13.73,,154.0,704.97,,172,
694,Valdelasfuentes,2020/05/15 07:00:00,25.0,95.09,,190.0,722.65,,262,
695,Alcobendas - Chopera,2020/05/14 07:00:00,,18.14,,171.0,620.4,,8,
696,La Moraleja,2020/05/14 07:00:00,13.0,54.67,,166.0,698.15,,125,
697,Marqués de la Valdavia,2020/05/14 07:00:00,,11.39,,103.0,586.46,,160,
698,Miraflores,2020/05/14 07:00:00,,13.73,,154.0,704.97,,172,
699,Valdelasfuentes,2020/05/14 07:00:00,21.0,79.87,,173.0,657.99,,262,
700,Alcobendas - Chopera,2020/05/13 07:00:00,6.0,21.77,,170.0,616.77,,8,
701,La Moraleja,2020/05/13 07:00:00,12.0,50.47,,164.0,689.74,,125,
702,Marqués de la Valdavia,2020/05/13 07:00:00,,17.08,,104.0,592.15,,160,
703,Miraflores,2020/05/13 07:00:00,,13.73,,154.0,704.97,,172,
704,Valdelasfuentes,2020/05/13 07:00:00,21.0,79.87,,169.0,642.78,,262,
705,Alcobendas - Chopera,2020/05/12 07:00:00,7.0,25.4,,170.0,616.77,,8,
706,La Moraleja,2020/05/12 07:00:00,12.0,50.47,,163.0,685.54,,125,
707,Marqués de la Valdavia,2020/05/12 07:00:00,,17.08,,104.0,592.15,,160,
708,Miraflores,2020/05/12 07:00:00,,9.16,,153.0,700.39,,172,
709,Valdelasfuentes,2020/05/12 07:00:00,11.0,41.84,,156.0,593.34,,262,
710,Alcobendas - Chopera,2020/05/11 07:00:00,7.0,25.4,,170.0,616.77,,8,
711,La Moraleja,2020/05/11 07:00:00,18.0,75.7,,161.0,677.12,,125,
712,Marqués de la Valdavia,2020/05/11 07:00:00,,11.39,,103.0,586.46,,160,
713,Miraflores,2020/05/11 07:00:00,,18.31,,153.0,700.39,,172,
714,Valdelasfuentes,2020/05/11 07:00:00,,15.21,,148.0,562.91,,262,
715,Alcobendas - Chopera,2020/05/10 07:00:00,8.0,29.02,,170.0,616.77,,8,
716,La Moraleja,2020/05/10 07:00:00,18.0,75.7,,161.0,677.12,,125,
717,Marqués de la Valdavia,2020/05/10 07:00:00,,11.39,,103.0,586.46,,160,
718,Miraflores,2020/05/10 07:00:00,,18.31,,153.0,700.39,,172,
719,Valdelasfuentes,2020/05/10 07:00:00,,15.21,,148.0,562.91,,262,
720,Alcobendas - Chopera,2020/05/09 07:00:00,9.0,32.65,,170.0,616.77,,8,
721,La Moraleja,2020/05/09 07:00:00,17.0,71.5,,160.0,672.92,,125,
722,Marqués de la Valdavia,2020/05/09 07:00:00,,17.08,,103.0,586.46,,160,
723,Miraflores,2020/05/09 07:00:00,6.0,27.47,,153.0,700.39,,172,
724,Valdelasfuentes,2020/05/09 07:00:00,,19.02,,148.0,562.91,,262,
725,Alcobendas - Chopera,2020/05/08 07:00:00,11.0,39.91,,169.0,613.14,,8,
726,La Moraleja,2020/05/08 07:00:00,17.0,71.5,,160.0,672.92,,125,
727,Marqués de la Valdavia,2020/05/08 07:00:00,,17.08,,103.0,586.46,,160,
728,Miraflores,2020/05/08 07:00:00,6.0,27.47,,153.0,700.39,,172,
729,Valdelasfuentes,2020/05/08 07:00:00,7.0,26.62,,147.0,559.11,,262,
730,Alcobendas - Chopera,2020/05/07 07:00:00,10.0,36.28,,168.0,609.51,,8,
731,La Moraleja,2020/05/07 07:00:00,15.0,63.09,,157.0,660.3,,125,
732,Marqués de la Valdavia,2020/05/07 07:00:00,,22.78,,102.0,580.77,,160,
733,Miraflores,2020/05/07 07:00:00,7.0,32.04,,153.0,700.39,,172,
734,Valdelasfuentes,2020/05/07 07:00:00,6.0,22.82,,146.0,555.3,,262,
735,Alcobendas - Chopera,2020/05/06 07:00:00,8.0,29.02,,166.0,602.26,,8,
736,La Moraleja,2020/05/06 07:00:00,17.0,71.5,,155.0,651.89,,125,
737,Marqués de la Valdavia,2020/05/06 07:00:00,6.0,34.16,,102.0,580.77,,160,
738,Miraflores,2020/05/06 07:00:00,11.0,50.35,,152.0,695.81,,172,
739,Valdelasfuentes,2020/05/06 07:00:00,6.0,22.82,,143.0,543.89,,262,
740,Alcobendas - Chopera,2020/05/05 07:00:00,8.0,29.02,,165.0,598.63,,8,
741,La Moraleja,2020/05/05 07:00:00,18.0,75.7,,155.0,651.89,,125,
742,Marqués de la Valdavia,2020/05/05 07:00:00,6.0,34.16,,101.0,575.07,,160,
743,Miraflores,2020/05/05 07:00:00,13.0,59.51,,152.0,695.81,,172,
744,Valdelasfuentes,2020/05/05 07:00:00,9.0,34.23,,143.0,543.89,,262,
745,Alcobendas - Chopera,2020/05/04 07:00:00,9.0,32.65,,164.0,595.0,,8,
746,La Moraleja,2020/05/04 07:00:00,19.0,79.91,,151.0,635.07,,125,
747,Marqués de la Valdavia,2020/05/04 07:00:00,6.0,34.16,,101.0,575.07,,160,
748,Miraflores,2020/05/04 07:00:00,12.0,54.93,,150.0,686.66,,172,
749,Valdelasfuentes,2020/05/04 07:00:00,11.0,41.84,,141.0,536.28,,262,
750,Alcobendas - Chopera,2020/05/03 07:00:00,10.0,36.28,,164.0,595.0,,8,
751,La Moraleja,2020/05/03 07:00:00,18.0,75.7,,150.0,630.86,,125,
752,Marqués de la Valdavia,2020/05/03 07:00:00,7.0,39.86,,101.0,575.07,,160,
753,Miraflores,2020/05/03 07:00:00,12.0,54.93,,149.0,682.08,,172,
754,Valdelasfuentes,2020/05/03 07:00:00,11.0,41.84,,141.0,536.28,,262,
755,Alcobendas - Chopera,2020/05/02 07:00:00,16.0,58.05,,164.0,595.0,,8,
756,La Moraleja,2020/05/02 07:00:00,18.0,75.7,,149.0,626.66,,125,
757,Marqués de la Valdavia,2020/05/02 07:00:00,7.0,39.86,,101.0,575.07,,160,
758,Miraflores,2020/05/02 07:00:00,13.0,59.51,,149.0,682.08,,172,
759,Valdelasfuentes,2020/05/02 07:00:00,10.0,38.03,,140.0,532.48,,262,
760,Alcobendas - Chopera,2020/05/01 07:00:00,19.0,68.93,,164.0,595.0,,8,
761,La Moraleja,2020/05/01 07:00:00,22.0,92.53,,149.0,626.66,,125,
762,Marqués de la Valdavia,2020/05/01 07:00:00,10.0,56.94,,101.0,575.07,,160,
763,Miraflores,2020/05/01 07:00:00,13.0,59.51,,149.0,682.08,,172,
764,Valdelasfuentes,2020/05/01 07:00:00,12.0,45.64,,140.0,532.48,,262,
765,Alcobendas - Chopera,2020/04/30 07:00:00,20.0,72.56,,164.0,595.0,,8,
766,La Moraleja,2020/04/30 07:00:00,15.0,63.09,,142.0,597.22,,125,
767,Marqués de la Valdavia,2020/04/30 07:00:00,13.0,74.02,,102.0,580.77,,160,
768,Miraflores,2020/04/30 07:00:00,15.0,68.67,,149.0,682.08,,172,
769,Valdelasfuentes,2020/04/30 07:00:00,12.0,45.64,,139.0,528.68,,262,
770,Alcobendas - Chopera,2020/04/29 07:00:00,19.0,68.93,,161.0,584.12,,8,
771,La Moraleja,2020/04/29 07:00:00,22.0,92.53,,142.0,597.22,,125,
772,Marqués de la Valdavia,2020/04/29 07:00:00,18.0,102.49,,102.0,580.77,,160,
773,Miraflores,2020/04/29 07:00:00,20.0,91.55,,148.0,677.5,,172,
774,Valdelasfuentes,2020/04/29 07:00:00,16.0,60.86,,137.0,521.07,,262,
775,Alcobendas - Chopera,2020/04/28 07:00:00,22.0,79.82,,159.0,576.86,,8,
776,La Moraleja,2020/04/28 07:00:00,22.0,92.53,,141.0,593.01,,125,
777,Marqués de la Valdavia,2020/04/28 07:00:00,21.0,119.57,,102.0,580.77,,160,
778,Miraflores,2020/04/28 07:00:00,25.0,114.44,,148.0,677.5,,172,
779,Valdelasfuentes,2020/04/28 07:00:00,16.0,60.86,,137.0,521.07,,262,
780,Alcobendas - Chopera,2020/04/27 07:00:00,27.0,97.96,,157.0,569.6,,8,
781,La Moraleja,2020/04/27 07:00:00,23.0,96.73,,141.0,593.01,,125,
782,Marqués de la Valdavia,2020/04/27 07:00:00,20.0,113.88,,101.0,575.07,,160,
783,Miraflores,2020/04/27 07:00:00,27.0,123.6,,145.0,663.77,,172,
784,Valdelasfuentes,2020/04/27 07:00:00,16.0,60.86,,136.0,517.27,,262,
785,Alcobendas - Chopera,2020/04/26 07:00:00,28.0,101.59,,157.0,569.6,,8,
786,La Moraleja,2020/04/26 07:00:00,23.0,96.73,,141.0,593.01,,125,
787,Marqués de la Valdavia,2020/04/26 07:00:00,21.0,119.57,,100.0,569.38,,160,
788,Miraflores,2020/04/26 07:00:00,27.0,123.6,,144.0,659.19,,172,
789,Valdelasfuentes,2020/04/26 07:00:00,17.0,64.66,,136.0,517.27,,262,
790,Alcobendas - Chopera,2020/04/25 07:00:00,27.0,97.96,,155.0,562.35,,8,
791,La Moraleja,2020/04/25 07:00:00,25.0,105.14,,140.0,588.8,,125,
792,Marqués de la Valdavia,2020/04/25 07:00:00,21.0,119.57,,99.0,563.69,,160,
793,Miraflores,2020/04/25 07:00:00,28.0,128.18,,143.0,654.61,,172,
794,Valdelasfuentes,2020/04/25 07:00:00,17.0,64.66,,135.0,513.46,,262,
795,Alcobendas - Chopera,2020/04/24 07:00:00,29.0,105.21,,153.0,555.09,,8,
796,La Moraleja,2020/04/24 07:00:00,25.0,105.14,,138.0,580.39,,125,
797,Marqués de la Valdavia,2020/04/24 07:00:00,24.0,136.65,,97.0,552.3,,160,
798,Miraflores,2020/04/24 07:00:00,37.0,169.38,,143.0,654.61,,172,
799,Valdelasfuentes,2020/04/24 07:00:00,18.0,68.46,,135.0,513.46,,262,
800,Alcobendas - Chopera,2020/04/23 07:00:00,34.0,123.35,,152.0,551.46,,8,
801,La Moraleja,2020/04/23 07:00:00,26.0,109.35,,134.0,563.57,,125,
802,Marqués de la Valdavia,2020/04/23 07:00:00,31.0,176.51,,95.0,540.91,,160,
803,Miraflores,2020/04/23 07:00:00,32.0,146.49,,137.0,627.15,,172,
804,Valdelasfuentes,2020/04/23 07:00:00,16.0,60.86,,129.0,490.64,,262,
805,Alcobendas - Chopera,2020/04/22 07:00:00,38.0,137.87,,152.0,551.46,,8,
806,La Moraleja,2020/04/22 07:00:00,27.0,113.56,,129.0,542.54,,125,
807,Marqués de la Valdavia,2020/04/22 07:00:00,33.0,187.9,,93.0,529.52,,160,
808,Miraflores,2020/04/22 07:00:00,41.0,187.69,,136.0,622.57,,172,
809,Valdelasfuentes,2020/04/22 07:00:00,19.0,72.27,,127.0,483.04,,262,
810,Alcobendas - Chopera,2020/04/21 07:00:00,48.0,174.15,,152.0,551.46,,8,
811,La Moraleja,2020/04/21 07:00:00,30.0,126.17,,106.0,445.81,,125,
812,Marqués de la Valdavia,2020/04/21 07:00:00,38.0,216.36,,92.0,523.83,,160,
813,Miraflores,2020/04/21 07:00:00,48.0,219.73,,134.0,613.41,,172,
814,Valdelasfuentes,2020/04/21 07:00:00,23.0,87.48,,124.0,471.63,,262,
815,Alcobendas - Chopera,2020/04/20 07:00:00,49.0,177.77,,146.0,529.7,,8,
816,La Moraleja,2020/04/20 07:00:00,28.0,117.76,,102.0,428.99,,125,
817,Marqués de la Valdavia,2020/04/20 07:00:00,38.0,216.36,,91.0,518.13,,160,
818,Miraflores,2020/04/20 07:00:00,52.0,238.04,,132.0,604.26,,172,
819,Valdelasfuentes,2020/04/20 07:00:00,25.0,95.09,,121.0,460.22,,262,
820,Alcobendas - Chopera,2020/04/19 07:00:00,53.0,192.29,,145.0,526.07,,8,
821,La Moraleja,2020/04/19 07:00:00,25.0,105.14,,99.0,416.37,,125,
822,Marqués de la Valdavia,2020/04/19 07:00:00,45.0,256.22,,91.0,518.13,,160,
823,Miraflores,2020/04/19 07:00:00,55.0,251.77,,132.0,604.26,,172,
824,Valdelasfuentes,2020/04/19 07:00:00,29.0,110.3,,121.0,460.22,,262,
825,Alcobendas - Chopera,2020/04/18 07:00:00,52.0,188.66,,140.0,507.93,,8,
826,La Moraleja,2020/04/18 07:00:00,22.0,92.53,,94.0,395.34,,125,
827,Marqués de la Valdavia,2020/04/18 07:00:00,46.0,261.91,,88.0,501.05,,160,
828,Miraflores,2020/04/18 07:00:00,57.0,260.93,,130.0,595.1,,172,
829,Valdelasfuentes,2020/04/18 07:00:00,32.0,121.71,,118.0,448.81,,262,
830,Alcobendas - Chopera,2020/04/17 07:00:00,52.0,188.66,,137.0,497.04,,8,
831,La Moraleja,2020/04/17 07:00:00,24.0,100.94,,90.0,378.52,,125,
832,Marqués de la Valdavia,2020/04/17 07:00:00,44.0,250.53,,84.0,478.28,,160,
833,Miraflores,2020/04/17 07:00:00,65.0,297.55,,130.0,595.1,,172,
834,Valdelasfuentes,2020/04/17 07:00:00,39.0,148.33,,116.0,441.2,,262,
835,Alcobendas - Chopera,2020/04/16 07:00:00,54.0,195.91,,135.0,489.79,,8,
836,La Moraleja,2020/04/16 07:00:00,21.0,88.32,,86.0,361.69,,125,
837,Marqués de la Valdavia,2020/04/16 07:00:00,42.0,239.14,,82.0,466.89,,160,
838,Miraflores,2020/04/16 07:00:00,60.0,274.66,,123.0,563.06,,172,
839,Valdelasfuentes,2020/04/16 07:00:00,40.0,152.14,,115.0,437.4,,262,
840,Alcobendas - Chopera,2020/04/15 07:00:00,53.0,192.29,,132.0,478.9,,8,
841,La Moraleja,2020/04/15 07:00:00,20.0,84.11,,83.0,349.08,,125,
842,Marqués de la Valdavia,2020/04/15 07:00:00,39.0,222.06,,77.0,438.42,,160,
843,Miraflores,2020/04/15 07:00:00,61.0,279.24,,120.0,549.32,,172,
844,Valdelasfuentes,2020/04/15 07:00:00,41.0,155.94,,111.0,422.18,,262,
845,Alcobendas - Chopera,2020/04/14 07:00:00,54.0,195.91,,128.0,464.39,,8,
846,La Moraleja,2020/04/14 07:00:00,22.0,92.53,,80.0,336.46,,125,
847,Marqués de la Valdavia,2020/04/14 07:00:00,37.0,210.67,,73.0,415.65,,160,
848,Miraflores,2020/04/14 07:00:00,62.0,283.82,,117.0,535.59,,172,
849,Valdelasfuentes,2020/04/14 07:00:00,45.0,171.15,,111.0,422.18,,262,
850,Alcobendas - Chopera,2020/04/13 07:00:00,53.0,192.29,,120.0,435.37,,8,
851,La Moraleja,2020/04/13 07:00:00,23.0,96.73,,79.0,332.25,,125,
852,Marqués de la Valdavia,2020/04/13 07:00:00,36.0,204.98,,70.0,398.57,,160,
853,Miraflores,2020/04/13 07:00:00,60.0,274.66,,114.0,521.86,,172,
854,Valdelasfuentes,2020/04/13 07:00:00,54.0,205.39,,111.0,422.18,,262,
855,Alcobendas - Chopera,2020/04/12 07:00:00,49.0,177.77,,116.0,420.85,,8,
856,La Moraleja,2020/04/12 07:00:00,23.0,96.73,,79.0,332.25,,125,
857,Marqués de la Valdavia,2020/04/12 07:00:00,38.0,216.36,,68.0,387.18,,160,
858,Miraflores,2020/04/12 07:00:00,55.0,251.77,,108.0,494.39,,172,
859,Valdelasfuentes,2020/04/12 07:00:00,55.0,209.19,,110.0,418.38,,262,
